locus_taq	old_locus_taq	protein_id	status	description
CA_RS00990	CA_C0173	WP_013913506.1	die_to_live	sensor histidine kinase
CA_RS01510	CA_C0272	WP_010963595.1	animo_acid_change	APC family permease
CA_RS01670	CA_Cr027		no_stop_codon	5S ribosomal RNA
CA_RS01900	CA_C0331	WP_010963654.1	normal	ECF transporter S component
CA_RS01905	CA_C0332	WP_013913668.1	animo_acid_change	glycoside hydrolase family 26 protein
CA_RS02070	CA_C0364	WP_013913511.1	die_to_live	MBL fold metallo-hydrolase
CA_RS02135	CA_C0377	WP_013913513.1	animo_acid_change	amino acid ABC transporter permease
CA_RS02195	CA_C0390	WP_010963712.1	animo_acid_change	PLP-dependent transferase
CA_RS02510	CA_C0452	WP_017750919.1	die_to_live	MFS transporter
CA_RS02920	CA_C0531	WP_010963852.1	animo_acid_change	MurR/RpiR family transcriptional regulator
CA_RS02960	CA_C0539	WP_010963860.1	normal	mannanase
CA_RS03695	CA_C0683	WP_007063070.1	die_to_live	CBS domain-containing protein
CA_RS03865	CA_C0717	WP_013913526.1	die_to_live	hypothetical protein
CA_RS03930	CA_C0727	WP_010964045.1	animo_acid_change	amino acid permease
CA_RS04435	CA_C0828	WP_013913530.1	animo_acid_change	hypothetical protein
CA_RS04565	CA_C0853	WP_013913532.1	animo_acid_change	HD-GYP domain-containing protein
CA_RS05030	CA_C0946	WP_013913690.1	animo_acid_change	MBL fold metallo-hydrolase
CA_RS05125	CA_Cr028		multi-stop_codon	16S ribosomal RNA
CA_RS05145	CA_C0965	WP_010964283.1	animo_acid_change	1-acyl-sn-glycerol-3-phosphate acyltransferase
CA_RS05155	CA_C0967	WP_013913534.1	die_to_live	hypothetical protein
CA_RS05520	CA_C1039	WP_010964357.1	animo_acid_change	TerC family protein
CA_RS06425	CA_C1217	WP_010964530.1	normal	guanylate kinase
CA_RS06600	CA_C1250	WP_013913543.1	no_stop_codon	cell division topological specificity factor MinE
CA_RS06635	CA_C1257	WP_012101257.1	animo_acid_change	50S ribosomal protein L21
CA_RS06705	CA_C1271	WP_013913544.1	die_to_live	ComEC/Rec2 family competence protein
CA_RS07850		WP_013913551.1	die_to_live	NgoFVII family restriction endonuclease
CA_RS07910	CA_C1515	WP_010964823.1	animo_acid_change	sulfite reductase subunit C
CA_RS08000	CA_C1533	WP_013913552.1	animo_acid_change	hypothetical protein
CA_RS08395	CA_C1611	WP_013913553.1	die_to_live	MATE family efflux transporter
CA_RS08540		WP_014518934.1	die_to_live	hypothetical protein
CA_RS20115		WP_010963661.1	normal	hypothetical protein
CA_RS08735	CA_C1680	WP_003495300.1	animo_acid_change	Holliday junction resolvase RuvX
CA_RS08860	CA_C1705	WP_013913657.1	animo_acid_change	phosphate ABC transporter substrate-binding protein
CA_RS08915	CA_C1716	WP_013913556.1	animo_acid_change	YicC family protein
CA_RS08970	CA_C1727	WP_007061466.1	normal	Stp1/IreP family PP2C-type Ser/Thr phosphatase
